,Time,Date,Route,Block ID,Element Key,Location,Side of Street,Paid,Load Zone,RPZ,ADA,Rideshare Vehicle,Notes,Picture
583,1700,30-09-2021,PPNorth,,54725,BROADWAY BETWEEN E PIKE ST AND E PINE ST,W,1,0,0,0,0,most of this side of the street is closed due to construction,
601,1800,30-09-2021,PPNorth,,54725,BROADWAY BETWEEN E PIKE ST AND E PINE ST,W,2,0,0,0,0,this side of the street is mostly closed due to construction.,
619,1900,30-09-2021,PPNorth,,54725,BROADWAY BETWEEN E PIKE ST AND E PINE ST,W,0,0,0,0,0,Blocked off by construction.,https://idax.blob.core.windows.net/images/79b57954-23fe-44e7-8503-3e508326e598-mobile.jpg
637,2000,30-09-2021,PPNorth,,54725,BROADWAY BETWEEN E PIKE ST AND E PINE ST,W,0,0,0,0,0,,
655,2100,30-09-2021,PPNorth,,54725,BROADWAY BETWEEN E PIKE ST AND E PINE ST,W,1,0,0,0,0,,
13,900,30-09-2021,PPSouth,20,54754,BROADWAY CT BETWEEN E MADISON ST AND E SENECA ST,E,5,0,0,0,0,,
38,1800,30-09-2021,PPSouth,20,54754,BROADWAY CT BETWEEN E MADISON ST AND E SENECA ST,E,7,0,0,0,0,,
63,1900,30-09-2021,PPSouth,20,54754,BROADWAY CT BETWEEN E MADISON ST AND E SENECA ST,E,7,0,0,0,0,,
88,2000,30-09-2021,PPSouth,20,54754,BROADWAY CT BETWEEN E MADISON ST AND E SENECA ST,E,6,0,0,0,0,,
113,2100,30-09-2021,PPSouth,20,54754,BROADWAY CT BETWEEN E MADISON ST AND E SENECA ST,E,8,0,0,0,0,,
252,1000,30-09-2021,PPSouth,20,54754,BROADWAY CT BETWEEN E MADISON ST AND E SENECA ST,E,6,0,0,0,0,,
464,1100,30-09-2021,PPSouth,20,54754,BROADWAY CT BETWEEN E MADISON ST AND E SENECA ST,E,6,0,0,0,0,,
669,1200,30-09-2021,PPSouth,20,54754,BROADWAY CT BETWEEN E MADISON ST AND E SENECA ST,E,5,0,0,0,0,,
894,1300,30-09-2021,PPSouth,20,54754,BROADWAY CT BETWEEN E MADISON ST AND E SENECA ST,E,6,0,0,0,0,,
1147,1400,30-09-2021,PPSouth,20,54754,BROADWAY CT BETWEEN E MADISON ST AND E SENECA ST,E,6,0,0,0,0,,
1316,1500,30-09-2021,PPSouth,20,54754,BROADWAY CT BETWEEN E MADISON ST AND E SENECA ST,E,5,0,0,0,0,,
1341,1600,30-09-2021,PPSouth,20,54754,BROADWAY CT BETWEEN E MADISON ST AND E SENECA ST,E,2,0,0,0,0,,
1366,1700,30-09-2021,PPSouth,20,54754,BROADWAY CT BETWEEN E MADISON ST AND E SENECA ST,E,5,0,0,0,0,,
403,900,30-09-2021,PPNorth,,56149,HARVARD AVE BETWEEN E PIKE ST AND E PINE ST,E,12,0,0,0,0,,
421,1000,30-09-2021,PPNorth,,56149,HARVARD AVE BETWEEN E PIKE ST AND E PINE ST,E,13,0,0,1,0,,
439,1100,30-09-2021,PPNorth,,56149,HARVARD AVE BETWEEN E PIKE ST AND E PINE ST,E,12,2,0,1,0,,
482,1200,30-09-2021,PPNorth,,56149,HARVARD AVE BETWEEN E PIKE ST AND E PINE ST,E,13,0,0,1,0,,
500,1300,30-09-2021,PPNorth,,56149,HARVARD AVE BETWEEN E PIKE ST AND E PINE ST,E,11,1,0,1,0,,
518,1400,30-09-2021,PPNorth,,56149,HARVARD AVE BETWEEN E PIKE ST AND E PINE ST,E,10,2,0,2,0,,
536,1500,30-09-2021,PPNorth,,56149,HARVARD AVE BETWEEN E PIKE ST AND E PINE ST,E,5,2,0,4,0,,
554,1600,30-09-2021,PPNorth,,56149,HARVARD AVE BETWEEN E PIKE ST AND E PINE ST,E,8,2,0,3,0,,
572,1700,30-09-2021,PPNorth,,56149,HARVARD AVE BETWEEN E PIKE ST AND E PINE ST,E,9,2,0,2,0,,
590,1800,30-09-2021,PPNorth,,56149,HARVARD AVE BETWEEN E PIKE ST AND E PINE ST,E,11,2,0,2,0,,
608,1900,30-09-2021,PPNorth,,56149,HARVARD AVE BETWEEN E PIKE ST AND E PINE ST,E,12,2,0,0,0,,
626,2000,30-09-2021,PPNorth,,56149,HARVARD AVE BETWEEN E PIKE ST AND E PINE ST,E,13,3,0,0,0,,
644,2100,30-09-2021,PPNorth,,56149,HARVARD AVE BETWEEN E PIKE ST AND E PINE ST,E,13,1,0,0,0,,
405,900,30-09-2021,PPNorth,,56150,HARVARD AVE BETWEEN E PIKE ST AND E PINE ST,W,5,1,0,0,0,three-ish spots at the south end of the street have been turned into outdoor dining.,https://idax.blob.core.windows.net/images/b013ae33-d3ef-4a56-a142-03c262c6c8c8-mobile.jpg
